,All classes,,,,Only matched Classes,,,"Matched inluding ""Tvmonitor""",
Class,non-associated,associated,with tvmonitor,,non-associated,associated,,non-associated,with tvmonitor
Cow,0.8263558275,0.8263558275,0.8263558275,,0.8263558275,0.8263558275,,0.8263558275,0.8263558275
Leg,0,0,0,,,,,,
Neck,0,0,0,,,,,,
Torso,0,0,0,,,,,,
Muzzle,0,0,0,,,,,,
Eye,0,0,0,,,,,,
Ear,0,0,0,,,,,,
Head,0,0,0,,,,,,
Tail,0,0,0,,,,,,
Aeroplane,0,0.8756962161,0.8756962161,,0,0.8756962161,,0,0.8756962161
Stern,0,0,0,,,,,,
Wheel,0,0,0,,,,,,
Artifact_Wing,0,0,0,,,,,,
Body,0,0,0,,,,,,
Person,0.8160323128,0.8160323128,0.8160323128,,0.8160323128,0.8160323128,,0.8160323128,0.8160323128
Arm,0,0,0,,,,,,
Bus,0.8866700767,0.8866700767,0.8866700767,,0.8866700767,0.8866700767,,0.8866700767,0.8866700767
Window,0,0,0,,,,,,
Headlight,0,0,0,,,,,,
Mirror,0,0,0,,,,,,
Door,0,0,0,,,,,,
Bodywork,0,0,0,,,,,,
License_plate,0,0,0,,,,,,
Dog,0.7664247463,0.7664247463,0.7664247463,,0.7664247463,0.7664247463,,0.7664247463,0.7664247463
Nose,0,0,0,,,,,,
Cat,0.7492156004,0.7492156004,0.7492156004,,0.7492156004,0.7492156004,,0.7492156004,0.7492156004
Foot,0,0,0,,,,,,
Hand,0,0,0,,,,,,
Hair,0,0,0,,,,,,
Bicycle,0.8198340435,0.8198340435,0.8198340435,,0.8198340435,0.8198340435,,0.8198340435,0.8198340435
Saddle,0,0,0,,,,,,
Handlebar,0,0,0,,,,,,
Chain_wheel,0,0,0,,,,,,
Bird,0.833528191,0.833528191,0.833528191,,0.833528191,0.833528191,,0.833528191,0.833528191
Animal_Wing,0,0,0,,,,,,
Beak,0,0,0,,,,,,
Boat,0.65304212,0.65304212,0.65304212,,0.65304212,0.65304212,,0.65304212,0.65304212
Mouth,0,0,0,,,,,,
Ebrow,0,0,0,,,,,,
Tvmonitor,0,0,0.6671402558,,,,,0,0.6671402558
Screen,0,0,0,,,,,,
Car,0.6994720843,0.6994720843,0.6994720843,,0.6994720843,0.6994720843,,0.6994720843,0.6994720843
Chair,0.5976392901,0.5976392901,0.5976392901,,0.5976392901,0.5976392901,,0.5976392901,0.5976392901
Pottedplant,0.4890258524,0.4890258524,0.4890258524,,0.4890258524,0.4890258524,,0.4890258524,0.4890258524
Plant,0,0,0,,,,,,
Pot,0,0,0,,,,,,
Horse,0.8331698981,0.8331698981,0.8331698981,,0.8331698981,0.8331698981,,0.8331698981,0.8331698981
Hoof,0,0,0,,,,,,
Sofa,0,0.2914232434,0.2914232434,,0,0.2914232434,,0,0.2914232434
Bottle,0.7527538283,0.7527538283,0.7527538283,,0.7527538283,0.7527538283,,0.7527538283,0.7527538283
Cap,0,0,0,,,,,,
Motorbike,0,0.8721061294,0.8721061294,,0,0.8721061294,,0,0.8721061294
Engine,0,0,0,,,,,,
Horn,0,0,0,,,,,,
Diningtable,0.4108872371,0.4108872371,0.4108872371,,0.4108872371,0.4108872371,,0.4108872371,0.4108872371
Train,0.9101946153,0.9101946153,0.9101946153,,0.9101946153,0.9101946153,,0.9101946153,0.9101946153
Locomotive,0,0,0,,,,,,
Sheep,0.7761972987,0.7761972987,0.7761972987,,0.7761972987,0.7761972987,,0.7761972987,0.7761972987
Coach,0,0,0,,,,,,
mAP,0.2003464919,0.2349096375,0.2462170994,,0.6221285801,0.7294562427,,0.5910221511,0.7263404434
